ENTIDAD,CICLO,MUJERES_INSC_ING,MAT_TOTAL_SUP,%_MUJERES_EN_ING
01 Aguascalientes,2010/2011,3842,35198,10.91539292
02 Baja California,2010/2011,6614,78503,8.425155727
03 Baja California Sur,2010/2011,1217,15503,7.85009353
04 Campeche,2010/2011,2262,23275,9.71858217
05 Coahuila,2010/2011,8776,74490,11.78144717
06 Colima,2010/2011,1053,19367,5.437083699
07 Chiapas,2010/2011,6093,81114,7.51165027
08 Chihuahua,2010/2011,10923,93963,11.62478848
09 Distrito Federal,2010/2011,49797,472104,10.54788775
10 Durango,2010/2011,3865,34099,11.33464324
11 Guanajuato,2010/2011,12381,96042,12.89123508
12 Guerrero,2010/2011,3508,57238,6.128795555
13 Hidalgo,2010/2011,8094,63062,12.83498779
14 Jalisco,2010/2011,14601,190666,7.657893909
15 M�xico,2010/2011,27042,305284,8.857981421
16 Michoac�n,2010/2011,6804,86782,7.840335553
17 Morelos,2010/2011,3746,41655,8.992918017
18 Nayarit,2010/2011,2038,31054,6.562761641
19 Nuevo Le�n,2010/2011,14011,144360,9.705597118
20 Oaxaca,2010/2011,4801,57903,8.291452947
21 Puebla,2010/2011,17860,172296,10.36588197
22 Quer�taro,2010/2011,6074,47175,12.8754637
23 Quintana Roo,2010/2011,1811,23836,7.597751301
24 San Luis Potos�,2010/2011,6331,59261,10.68324868
25 Sinaloa,2010/2011,6838,90804,7.530505264
26 Sonora,2010/2011,8051,82953,9.705495883
27 Tabasco,2010/2011,8447,66090,12.78105614
28 Tanaulipas,2010/2011,10358,92128,11.24305314
29 Tlaxcala,2010/2011,2595,23852,10.87959081
30 Veracruz,2010/2011,23159,194820,11.88738323
31 Yucat�n,2010/2011,4552,51543,8.83146111
32 Zacatecas,2010/2011,3129,36332,8.612242651
01 Aguascalientes,2011/2012,2537,37121,6.834406401
02 Baja California,2011/2012,5745,86279,6.658630721
03 Baja California Sur,2011/2012,770,17213,4.473363156
04 Campeche,2011/2012,2028,23549,8.611830651
05 Coahuila,2011/2012,7119,78091,9.116287408
06 Colima,2011/2012,827,20182,4.097710831
07 Chiapas,2011/2012,5046,88763,5.6848011
08 Chihuahua,2011/2012,8575,98984,8.663016245
09 Distrito Federal,2011/2012,31873,505908,6.300157341
10 Durango,2011/2012,3652,35902,10.17213526
11 Guanajuato,2011/2012,9829,101354,9.697693234
12 Guerrero,2011/2012,2868,59768,4.79855441
13 Hidalgo,2011/2012,6110,66867,9.137541687
14 Jalisco,2011/2012,9543,203796,4.6826238
15 M�xico,2011/2012,22470,331503,6.778219202
16 Michoac�n,2011/2012,5668,93907,6.035758783
17 Morelos,2011/2012,3151,45184,6.973707507
18 Nayarit,2011/2012,1418,30213,4.693343925
19 Nuevo Le�n,2011/2012,9173,156352,5.866890094
20 Oaxaca,2011/2012,3544,59718,5.934559094
21 Puebla,2011/2012,12801,182213,7.025294573
22 Quer�taro,2011/2012,5223,50982,10.24479228
23 Quintana Roo,2011/2012,1035,25172,4.111711425
24 San Luis Potos�,2011/2012,5136,62110,8.269199807
25 Sinaloa,2011/2012,5327,101151,5.266383921
26 Sonora,2011/2012,6159,89695,6.86660349
27 Tabasco,2011/2012,7296,66831,10.91708937
28 Tanaulipas,2011/2012,8565,96205,8.902863677
29 Tlaxcala,2011/2012,2021,24149,8.368876558
30 Veracruz,2011/2012,19601,211027,9.288384899
31 Yucat�n,2011/2012,2977,52970,5.620162356
32 Zacatecas,2011/2012,2503,37710,6.637496685
01 Aguascalientes,2012/2013,2892,39788,7.268523173
02 Baja California,2012/2013,6244,92817,6.727215919
03 Baja California Sur,2012/2013,886,17682,5.010745391
04 Campeche,2012/2013,2111,24429,8.641368865
05 Coahuila,2012/2013,7423,80345,9.238907213
06 Colima,2012/2013,977,22050,4.430839002
07 Chiapas,2012/2013,5178,92506,5.597474758
08 Chihuahua,2012/2013,8950,106296,8.419884097
09 Distrito Federal,2012/2013,34382,535367,6.42213659
10 Durango,2012/2013,3940,39115,10.07286207
11 Guanajuato,2012/2013,10762,108570,9.912498849
12 Guerrero,2012/2013,3003,62403,4.812268641
13 Hidalgo,2012/2013,6994,72701,9.620225306
14 Jalisco,2012/2013,9967,211544,4.71154937
15 M�xico,2012/2013,23887,355960,6.710585459
16 Michoac�n,2012/2013,5943,94733,6.273421089
17 Morelos,2012/2013,3439,48861,7.038333231
18 Nayarit,2012/2013,1449,33881,4.276733272
19 Nuevo Le�n,2012/2013,9968,160837,6.197578915
20 Oaxaca,2012/2013,3774,62643,6.024615679
21 Puebla,2012/2013,13526,192339,7.032375129
22 Quer�taro,2012/2013,5556,54669,10.16298085
